job,job_status,dataset,experiment,hops,bridge_ratio,update_policy,baseline,comparator,contrast_type,stratification,stratum,n_paired_examples,exact_match_difference,paired_bootstrap_ci95_low,paired_bootstrap_ci95_high,interval_note,baseline_only_correct,comparator_only_correct,common_example_ids_sha256
hotpot_equal,complete,hotpotqa,E1,3,0.2,all,latent/int8/correct,direct_text/bf16/correct,condition,all,,128,-0.078125,-0.15625,-0.0078125,empirical example bootstrap,7,17,ad950b99f050a37e1f1e2a55975f38eaca3e4c0b4083020b3aa86f5aa314b07f
hotpot_equal,complete,hotpotqa,E1,3,0.2,all,latent/int8/correct,latent/bf16/correct,condition,all,,128,0.0,,,not estimated: constant differences or fewer than two examples,0,0,ad950b99f050a37e1f1e2a55975f38eaca3e4c0b4083020b3aa86f5aa314b07f
hotpot_equal,complete,hotpotqa,E1,3,0.2,all,latent/int8/correct,text/bf16/correct,condition,all,,128,-0.0625,-0.140625,0.015625,empirical example bootstrap,9,17,ad950b99f050a37e1f1e2a55975f38eaca3e4c0b4083020b3aa86f5aa314b07f
hotpot_equal,complete,hotpotqa,E1,3,0.2,all,latent/bf16/correct,direct_text/bf16/correct,condition,all,,128,-0.078125,-0.15625,-0.0078125,empirical example bootstrap,7,17,ad950b99f050a37e1f1e2a55975f38eaca3e4c0b4083020b3aa86f5aa314b07f
hotpot_equal,complete,hotpotqa,E1,3,0.2,all,latent/bf16/correct,latent/int8/correct,condition,all,,128,0.0,,,not estimated: constant differences or fewer than two examples,0,0,ad950b99f050a37e1f1e2a55975f38eaca3e4c0b4083020b3aa86f5aa314b07f
hotpot_equal,complete,hotpotqa,E1,3,0.2,all,latent/bf16/correct,text/bf16/correct,condition,all,,128,-0.0625,-0.140625,0.015625,empirical example bootstrap,9,17,ad950b99f050a37e1f1e2a55975f38eaca3e4c0b4083020b3aa86f5aa314b07f
musique_equal,complete,musique,E1,3,0.2,all,latent/int8/correct,direct_text/bf16/correct,condition,all,,128,-0.03125,-0.0703125,0.00039062499999964473,empirical example bootstrap,1,5,e917e24fe9b23c28a2827e3b329eeca17168bc41664bcc724f570c35330a9f7c
musique_equal,complete,musique,E1,3,0.2,all,latent/int8/correct,latent/bf16/correct,condition,all,,128,0.0,,,not estimated: constant differences or fewer than two examples,0,0,e917e24fe9b23c28a2827e3b329eeca17168bc41664bcc724f570c35330a9f7c
musique_equal,complete,musique,E1,3,0.2,all,latent/int8/correct,text/bf16/correct,condition,all,,128,-0.078125,-0.13320312499999998,-0.0234375,empirical example bootstrap,2,12,e917e24fe9b23c28a2827e3b329eeca17168bc41664bcc724f570c35330a9f7c
musique_equal,complete,musique,E1,3,0.2,all,latent/bf16/correct,direct_text/bf16/correct,condition,all,,128,-0.03125,-0.0703125,0.00039062499999964473,empirical example bootstrap,1,5,e917e24fe9b23c28a2827e3b329eeca17168bc41664bcc724f570c35330a9f7c
